,,precision,recall,f1-score,support,time_elapsed
Logistic Regression,0,0.8484069886947585,0.9677608440797186,0.9041621029572837,1706.0,65.70225024223328
Logistic Regression,1,0.3148148148148148,0.08994708994708994,0.13991769547325103,189.0,65.70225024223328
Logistic Regression,2,0.0,0.0,0.0,29.0,65.70225024223328
Logistic Regression,3,0.17391304347826086,0.08695652173913043,0.11594202898550725,92.0,65.70225024223328
Logistic Regression,4,0.29545454545454547,0.16666666666666666,0.21311475409836064,78.0,65.70225024223328
Logistic Regression,accuracy,0.8065902578796562,0.8065902578796562,0.8065902578796562,0.8065902578796562,65.70225024223328
Logistic Regression,macro avg,0.32651787848847597,0.26226622448652115,0.27462731630288056,2094.0,65.70225024223328
Logistic Regression,weighted avg,0.738265414163664,0.8065902578796562,0.7622896893867761,2094.0,65.70225024223328
Random Forest,0,0.8165708812260536,0.9994138335287222,0.8987875593041644,1706.0,65.79035067558289
Random Forest,1,0.25,0.005291005291005291,0.010362694300518135,189.0,65.79035067558289
Random Forest,2,0.0,0.0,0.0,29.0,65.79035067558289
Random Forest,3,0.0,0.0,0.0,92.0,65.79035067558289
Random Forest,4,1.0,0.02564102564102564,0.05,78.0,65.79035067558289
Random Forest,accuracy,0.8156638013371538,0.8156638013371538,0.8156638013371538,0.8156638013371538,65.79035067558289
Random Forest,macro avg,0.4133141762452107,0.2060691728921506,0.19183005072093653,2094.0,65.79035067558289
Random Forest,weighted avg,0.725081147741952,0.8156638013371538,0.7350478153752161,2094.0,65.79035067558289
SGD Classifier,0,0.893719806763285,0.8675263774912075,0.8804283164782868,1706.0,63.30831789970398
SGD Classifier,1,0.20681265206812652,0.4497354497354497,0.2833333333333333,189.0,63.30831789970398
SGD Classifier,2,0.0,0.0,0.0,29.0,63.30831789970398
SGD Classifier,3,0.19047619047619047,0.043478260869565216,0.07079646017699115,92.0,63.30831789970398
SGD Classifier,4,0.6,0.038461538461538464,0.07228915662650602,78.0,63.30831789970398
SGD Classifier,accuracy,0.7507163323782235,0.7507163323782235,0.7507163323782235,0.7507163323782235,63.30831789970398
SGD Classifier,macro avg,0.37820172986152045,0.2798403253115522,0.26136945332302347,2094.0,63.30831789970398
SGD Classifier,weighted avg,0.7775059174321155,0.7507163323782235,0.748668833077893,2094.0,63.30831789970398
Decision Tree,0,0.8354203935599285,0.8212192262602579,0.8282589417676618,1706.0,79.63201594352722
Decision Tree,1,0.08415841584158416,0.08994708994708994,0.08695652173913043,189.0,79.63201594352722
Decision Tree,2,0.03225806451612903,0.034482758620689655,0.03333333333333333,29.0,79.63201594352722
Decision Tree,3,0.05660377358490566,0.06521739130434782,0.06060606060606061,92.0,79.63201594352722
Decision Tree,4,0.1282051282051282,0.1282051282051282,0.1282051282051282,78.0,79.63201594352722
Decision Tree,accuracy,0.6852913085004776,0.6852913085004776,0.6852913085004776,0.6852913085004776,79.63201594352722
Decision Tree,macro avg,0.22732915514153512,0.22781431886750267,0.22747199713026287,2094.0,79.63201594352722
Decision Tree,weighted avg,0.6959293997364261,0.6852913085004776,0.6905381860108648,2094.0,79.63201594352722
KNN,0,0.8318089430894309,0.9595545134818289,0.8911268372346217,1706.0,60.90807843208313
KNN,1,0.18032786885245902,0.0582010582010582,0.088,189.0,60.90807843208313
KNN,2,0.0,0.0,0.0,29.0,60.90807843208313
KNN,3,0.14285714285714285,0.043478260869565216,0.06666666666666667,92.0,60.90807843208313
KNN,4,0.17647058823529413,0.07692307692307693,0.10714285714285714,78.0,60.90807843208313
KNN,accuracy,0.7917860553963706,0.7917860553963706,0.7917860553963706,0.7917860553963706,60.90807843208313
KNN,macro avg,0.2662929086068654,0.22763138189510582,0.23058727220882913,2094.0,60.90807843208313
KNN,weighted avg,0.7068078257635596,0.7917860553963706,0.7408714711140119,2094.0,60.90807843208313
