,,precision,recall,f1-score,support,time_elapsed
Logistic Regression,0,0.8905704307334109,0.44841735052754983,0.5964912280701754,1706.0,1.1661126613616943
Logistic Regression,1,0.11144578313253012,0.19576719576719576,0.1420345489443378,189.0,1.1661126613616943
Logistic Regression,2,0.006825938566552901,0.06896551724137931,0.012422360248447204,29.0,1.1661126613616943
Logistic Regression,3,0.07278481012658228,0.25,0.11274509803921569,92.0,1.1661126613616943
Logistic Regression,4,0.09183673469387756,0.34615384615384615,0.14516129032258066,78.0,1.1661126613616943
Logistic Regression,accuracy,0.4078319006685769,0.4078319006685769,0.4078319006685769,0.4078319006685769,1.1661126613616943
Logistic Regression,macro avg,0.23469273945059074,0.2618607819379942,0.20177090512495138,2094.0,1.1661126613616943
Logistic Regression,weighted avg,0.7423275204868411,0.4078319006685769,0.5093189794413433,2094.0,1.1661126613616943
Random Forest,0,0.8298862461220269,0.9407971864009379,0.8818681318681318,1706.0,5.848690748214722
Random Forest,1,0.19444444444444445,0.1111111111111111,0.1414141414141414,189.0,5.848690748214722
Random Forest,2,0.0,0.0,0.0,29.0,5.848690748214722
Random Forest,3,0.2,0.05434782608695652,0.08547008547008547,92.0,5.848690748214722
Random Forest,4,0.12,0.038461538461538464,0.05825242718446602,78.0,5.848690748214722
Random Forest,accuracy,0.7803247373447947,0.7803247373447947,0.7803247373447947,0.7803247373447947,5.848690748214722
Random Forest,macro avg,0.2688661381132943,0.22894353241210882,0.23340095718736492,2094.0,5.848690748214722
Random Forest,weighted avg,0.7069226054843256,0.7803247373447947,0.7371543662263332,2094.0,5.848690748214722
SGD Classifier,0,0.8921933085501859,0.4220398593200469,0.5730202944687625,1706.0,0.23789381980895996
SGD Classifier,1,0.11274509803921569,0.24338624338624337,0.1541038525963149,189.0,0.23789381980895996
SGD Classifier,2,0.006993006993006993,0.06896551724137931,0.012698412698412698,29.0,0.23789381980895996
SGD Classifier,3,0.07471264367816093,0.2826086956521739,0.11818181818181818,92.0,0.23789381980895996
SGD Classifier,4,0.09795918367346938,0.3076923076923077,0.14860681114551083,78.0,0.23789381980895996
SGD Classifier,accuracy,0.39063992359121297,0.39063992359121297,0.39063992359121297,0.39063992359121297,0.23789381980895996
SGD Classifier,macro avg,0.2369206481868078,0.26493852465843026,0.20132223781816377,2094.0,0.23789381980895996
SGD Classifier,weighted avg,0.7440820366111496,0.39063992359121297,0.4916573844387504,2094.0,0.23789381980895996
Decision Tree,0,0.8318181818181818,0.5363423212192263,0.6521739130434783,1706.0,6.892237186431885
Decision Tree,1,0.08661417322834646,0.1746031746031746,0.11578947368421053,189.0,6.892237186431885
Decision Tree,2,0.008695652173913044,0.034482758620689655,0.013888888888888888,29.0,6.892237186431885
Decision Tree,3,0.0425531914893617,0.13043478260869565,0.06417112299465241,92.0,6.892237186431885
Decision Tree,4,0.06481481481481481,0.1794871794871795,0.09523809523809523,78.0,6.892237186431885
Decision Tree,accuracy,0.4656160458452722,0.4656160458452722,0.4656160458452722,0.4656160458452722,6.892237186431885
Decision Tree,macro avg,0.20689920270492354,0.21107004330779314,0.18825229876986507,2094.0,6.892237186431885
Decision Tree,weighted avg,0.6899114231172855,0.4656160458452723,0.5483419287012165,2094.0,6.892237186431885
KNN,0,0.8796992481203008,0.13716295427901523,0.23732251521298176,1706.0,0.15581512451171875
KNN,1,0.08547008547008547,0.31746031746031744,0.13468013468013468,189.0,0.15581512451171875
KNN,2,0.020689655172413793,0.20689655172413793,0.03761755485893417,29.0,0.15581512451171875
KNN,3,0.046620046620046623,0.21739130434782608,0.07677543186180422,92.0,0.15581512451171875
KNN,4,0.04668304668304668,0.24358974358974358,0.07835051546391752,78.0,0.15581512451171875
KNN,accuracy,0.16189111747851004,0.16189111747851004,0.16189111747851004,0.16189111747851004,0.15581512451171875
KNN,macro avg,0.21583241641317868,0.22450017428020805,0.11294923041555446,2094.0,0.15581512451171875
KNN,weighted avg,0.728486669234671,0.16189111747851004,0.21231726143088486,2094.0,0.15581512451171875
