,,precision,recall,f1-score,support,time_elapsed
Logistic Regression,0,0.8827501534683855,0.8429073856975381,0.8623688155922039,1706.0,2.3142285346984863
Logistic Regression,1,0.1634980988593156,0.2275132275132275,0.1902654867256637,189.0,2.3142285346984863
Logistic Regression,2,0.25,0.13793103448275862,0.17777777777777778,29.0,2.3142285346984863
Logistic Regression,3,0.10784313725490197,0.11956521739130435,0.1134020618556701,92.0,2.3142285346984863
Logistic Regression,4,0.2976190476190476,0.32051282051282054,0.30864197530864196,78.0,2.3142285346984863
Logistic Regression,accuracy,0.7263610315186246,0.7263610315186246,0.7263610315186246,0.7263610315186246,2.3142285346984863
Logistic Regression,macro avg,0.3403420874403301,0.32968593711952987,0.33049122345199156,2094.0,2.3142285346984863
Logistic Regression,weighted avg,0.7532276775755555,0.7263610315186246,0.7386934076942702,2094.0,2.3142285346984863
Random Forest,0,0.8160919540229885,0.9988276670574443,0.8982604111755403,1706.0,4.5274152755737305
Random Forest,1,0.3333333333333333,0.010582010582010581,0.020512820512820513,189.0,4.5274152755737305
Random Forest,2,0.0,0.0,0.0,29.0,4.5274152755737305
Random Forest,3,0.0,0.0,0.0,92.0,4.5274152755737305
Random Forest,4,0.0,0.0,0.0,78.0,4.5274152755737305
Random Forest,accuracy,0.8147086914995224,0.8147086914995224,0.8147086914995224,0.8147086914995224,4.5274152755737305
Random Forest,macro avg,0.22988505747126436,0.201881935527891,0.1837546463376722,2094.0,4.5274152755737305
Random Forest,weighted avg,0.6949631678907442,0.8147086914995224,0.7336720078999021,2094.0,4.5274152755737305
SGD Classifier,0,0.8943894389438944,0.7942555685814772,0.8413536168891649,1706.0,0.09616374969482422
SGD Classifier,1,0.1443661971830986,0.21693121693121692,0.1733615221987315,189.0,0.09616374969482422
SGD Classifier,2,0.13333333333333333,0.13793103448275862,0.13559322033898305,29.0,0.09616374969482422
SGD Classifier,3,0.1,0.16304347826086957,0.12396694214876033,92.0,0.09616374969482422
SGD Classifier,4,0.20869565217391303,0.3076923076923077,0.24870466321243523,78.0,0.09616374969482422
SGD Classifier,accuracy,0.6872015281757402,0.6872015281757402,0.6872015281757402,0.6872015281757402,0.09616374969482422
SGD Classifier,macro avg,0.29615692432684787,0.32397072118972603,0.304595992957615,2094.0,0.09616374969482422
SGD Classifier,weighted avg,0.7557108508319587,0.6872015281757402,0.7176937554472597,2094.0,0.09616374969482422
Decision Tree,0,0.847457627118644,0.82063305978898,0.8338296605122096,1706.0,10.697425603866577
Decision Tree,1,0.14864864864864866,0.1746031746031746,0.16058394160583941,189.0,10.697425603866577
Decision Tree,2,0.0,0.0,0.0,29.0,10.697425603866577
Decision Tree,3,0.06086956521739131,0.07608695652173914,0.06763285024154589,92.0,10.697425603866577
Decision Tree,4,0.13636363636363635,0.15384615384615385,0.14457831325301204,78.0,10.697425603866577
Decision Tree,accuracy,0.6934097421203438,0.6934097421203438,0.6934097421203438,0.6934097421203438,10.697425603866577
Decision Tree,macro avg,0.23866789546966408,0.24503386895200946,0.2413249531225214,2094.0,10.697425603866577
Decision Tree,weighted avg,0.7116015616501266,0.6934097421203438,0.702179129156299,2094.0,10.697425603866577
KNN,0,1.0,0.019343493552168817,0.03795284646348476,1706.0,1.4742302894592285
KNN,1,0.07533414337788578,0.328042328042328,0.1225296442687747,189.0,1.4742302894592285
KNN,2,0.0106951871657754,0.13793103448275862,0.019851116625310174,29.0,1.4742302894592285
KNN,3,0.04500978473581213,0.25,0.07628524046434494,92.0,1.4742302894592285
KNN,4,0.059490084985835696,0.2692307692307692,0.09744779582366589,78.0,1.4742302894592285
KNN,accuracy,0.06829035339063992,0.06829035339063992,0.06829035339063992,0.06829035339063992,1.4742302894592285
KNN,macro avg,0.23810584005306185,0.20090952506160492,0.0708133287291161,2094.0,1.4742302894592285
KNN,weighted avg,0.8258497804922721,0.06829035339063992,0.04923615635749909,2094.0,1.4742302894592285
